insee_com,lib_com,lib_cite1,lib_cite2,lib_cite3,lib_cite4,lib_cite5,annee_lab_cite1,annee_lab_cite2,annee_lab_cite3,annee_lab_cite4,annee_lab_cite5,mail_cite1,mail_cite2,mail_cite3,mail_cite4,mail_cite5,URL_cite1,URL_cite2,URL_cite3,URL_cite4,URL_cite5,QPV1_cite1,QPV2_cite1,QPV3_cite1,QPV4_cite1,QPV5_cite1,QPV6_cite1,QPV7_cite1,QPV8_cite1,QPV9_cite1,QPV10_cite1,QPV1_cite2,QPV2_cite2,QPV3_cite2,QPV4_cite2,QPV1_cite3,QPV1_cite4,QPV2_cite4,QPV3_cite4,QPV4_cite4,QPV1_cite5
2A004,Ajaccio,Ajaccio,,,,,2021,,,,,,,,,,,,,,,Salines,Les Jardins De l'Empereur,,,,,,,,,,,,,,,,,,
61001,Alençon,Alençon,,,,,2022,,,,,,,,,,,,,,,Perseigne,,,,,,,,,,,,,,,,,,,
72003,Allonnes,Allonnes,,,,,2019,,,,,,,,,,,,,,,Chaoué Perrières,,,,,,,,,,,,,,,,,,,
80021,Amiens,Amiens Nord,Amiens Étouvie,,,,2019,2022,,,,,,,,,,,,,,Amiens Nord,,,,,,,,,,Étouvie,,,,,,,,,
49007,Angers,Angers,,,,,2019,,,,,,,,,,,,,,,Monplaisir,,,,,,,,,,,,,,,,,,,
16015,Angoulême,Angoulême,,,,,2019,,,,,,,,,,,,,,,Basseau - Grande Garenne,Bel Air - La Grand Font,,,,,,,,,,,,,,,,,,
74012,Annemasse,Annemasse,,,,,2022,,,,,,,,,,,,,,,Le Perrier - Château Rouge - Livron,,,,,,,,,,,,,,,,,,,
95018,Argenteuil,Argenteuil,,,,,2021,,,,,,,,,,,,,,,Justice - Butte Blanche,Champioux,Brigadières - Henri Barbusse,Val D'Argent Nord,Val D'Argent Sud,Champagne,Joliot Curie,Centre Ville,,,,,,,,,,,,
62041,Arras,Arras,,,,,2019,,,,,,,,,,,,,,,Arras Ouest,Cheminots Jean Jaurès Moulin Hacart,,,,,,,,,,,,,,,,,,
93001,Aubervilliers,Aubervilliers,,,,,2021,,,,,,,,,,,,,,,Franc Moisin - Cosmonautes - Cristino Garcia - Landy,,,,,,,,,,,,,,,,,,,
93005,Aulnay-sous-Bois,Aulnay-sous-Bois,,,,,2019,,,,,,,,,,,,,,,Les Beaudottes,,,,,,,,,,,,,,,,,,,
84007,Avignon,Avignon,,,,,2019,,,,,,,,,,,,,,,Monclar Champfleury Rocade Sud Barbière Croix Des Oiseaux,Quartiers Nord Est,Quartier De Saint Chamand,,,,,,,,,,,,,,,,,
62065,Avion,Avion,,,,,2021,,,,,,,,,,,,,,,République - Cité 4,,,,,,,,,,,,,,,,,,,
97602,Bandraboua,Bandraboua,,,,,2021,,,,,,,,,,,,,,,Quartier Prioritaire De Dzoumogné,,,,,,,,,,,,,,,,,,,
97105,Basse-Terre,Basse-Terre / Baillif / Capesterre-Belle-Eau,,,,,2021,,,,,,,,,,,,,,,Bourg - Saint Robert - Cadet - Bois Raimbault- Jean Jaurès,Bologne - Rivière Des Pères - Calebassier - Pintade - Chevalier Saint Georges - Mallian,Le Bourg,Sarlassone Petit Pérou,Bananier - Haute Plaine,,,,,,,,,,,,,,,
97104,Baillif,Basse-Terre / Baillif / Capesterre-Belle-Eau,,,,,2021,,,,,,,,,,,,,,,Bourg - Saint Robert - Cadet - Bois Raimbault- Jean Jaurès,Bologne - Rivière Des Pères - Calebassier - Pintade - Chevalier Saint Georges - Mallian,Le Bourg,Sarlassone Petit Pérou,Bananier - Haute Plaine,,,,,,,,,,,,,,,
97107,Capesterre-Belle-Eau,Basse-Terre / Baillif / Capesterre-Belle-Eau,,,,,2021,,,,,,,,,,,,,,,Bourg - Saint Robert - Cadet - Bois Raimbault- Jean Jaurès,Bologne - Rivière Des Pères - Calebassier - Pintade - Chevalier Saint Georges - Mallian,Le Bourg,Sarlassone Petit Pérou,Bananier - Haute Plaine,,,,,,,,,,,,,,,
2B033,Bastia,Bastia,,,,,2021,,,,,,,,,,,,,,,Quartier Sud,Centre Ancien,,,,,,,,,,,,,,,,,,
64102,Bayonne,Bayonne,,,,,2022,,,,,,,,,,,,,,,Maubec - Citadelle,Hauts De Sainte Croix,,,,,,,,,,,,,,,,,,
60057,Beauvais,Beauvais,,,,,2021,,,,,,,,,,,,,,,Argentine,,,,,,,,,,,,,,,,,,,
57058,Behren-lès-Forbach,Behren-lès-Forbach,,,,,2019,,,,,,,,,,,,,,,La Cité,,,,,,,,,,,,,,,,,,,
90010,Belfort,Belfort,,,,,2021,,,,,,,,,,,,,,,Les Glacis Du Château,Résidences Le Mont,,,,,,,,,,,,,,,,,,
25056,Besançon,Besançon,,,,,2019,,,,,,,,,,,,,,,Planoise,,,,,,,,,,,,,,,,,,,
